strategy_name,trade_date,portfolio_value,daily_return
top10_momentum_daily,2016-01-04,0.978572,-0.021428
top10_momentum_daily,2016-01-05,0.980202,0.001666
top10_momentum_daily,2016-01-06,0.967465,-0.012995
top10_momentum_daily,2016-01-07,0.937561,-0.030909
top10_momentum_daily,2016-01-08,0.927474,-0.010759
top10_momentum_daily,2016-01-11,0.934596,0.007679
top10_momentum_daily,2016-01-12,0.945491,0.011657
top10_momentum_daily,2016-01-13,0.912775,-0.034601
top10_momentum_daily,2016-01-14,0.920274,0.008216
top10_momentum_daily,2016-01-15,0.895718,-0.026683
top10_momentum_daily,2016-01-19,0.901871,0.006869
top10_momentum_daily,2016-01-20,0.899293,-0.002858
top10_momentum_daily,2016-01-21,0.908025,0.009710
top10_momentum_daily,2016-01-22,0.926677,0.020541
top10_momentum_daily,2016-01-25,0.918727,-0.008579
top10_momentum_daily,2016-01-26,0.922619,0.004236
top10_momentum_daily,2016-01-27,0.903448,-0.020779
top10_momentum_daily,2016-01-28,0.933757,0.033548
top10_momentum_daily,2016-01-29,0.956684,0.024554
top10_momentum_daily,2016-02-01,0.964015,0.007663
top10_momentum_daily,2016-02-02,0.942122,-0.022710
top10_momentum_daily,2016-02-03,0.930063,-0.012799
top10_momentum_daily,2016-02-04,0.926724,-0.003590
top10_momentum_daily,2016-02-05,0.869369,-0.061890
top10_momentum_daily,2016-02-08,0.839646,-0.034189
top10_momentum_daily,2016-02-09,0.842799,0.003755
top10_momentum_daily,2016-02-10,0.853404,0.012583
top10_momentum_daily,2016-02-11,0.851242,-0.002534
top10_momentum_daily,2016-02-12,0.860042,0.010338
top10_momentum_daily,2016-02-16,0.876776,0.019456
top10_momentum_daily,2016-02-17,0.899186,0.025560
top10_momentum_daily,2016-02-18,0.896862,-0.002585
top10_momentum_daily,2016-02-19,0.903136,0.006996
top10_momentum_daily,2016-02-22,0.923171,0.022184
top10_momentum_daily,2016-02-23,0.913242,-0.010755
top10_momentum_daily,2016-02-24,0.916225,0.003266
top10_momentum_daily,2016-02-25,0.930354,0.015420
top10_momentum_daily,2016-02-26,0.927316,-0.003265
top10_momentum_daily,2016-02-29,0.918359,-0.009659
top10_momentum_daily,2016-03-01,0.946440,0.030577
top10_momentum_daily,2016-03-02,0.945483,-0.001011
top10_momentum_daily,2016-03-03,0.939260,-0.006582
top10_momentum_daily,2016-03-04,0.936118,-0.003344
top10_momentum_daily,2016-03-07,0.919728,-0.017509
top10_momentum_daily,2016-03-08,0.919837,0.000119
top10_momentum_daily,2016-03-09,0.924850,0.005449
top10_momentum_daily,2016-03-10,0.926058,0.001306
top10_momentum_daily,2016-03-11,0.940639,0.015745
top10_momentum_daily,2016-03-14,0.945724,0.005406
top10_momentum_daily,2016-03-15,0.949440,0.003929
top10_momentum_daily,2016-03-16,0.956774,0.007725
top10_momentum_daily,2016-03-17,0.958364,0.001662
top10_momentum_daily,2016-03-18,0.956604,-0.001837
top10_momentum_daily,2016-03-21,0.962347,0.006004
top10_momentum_daily,2016-03-22,0.963445,0.001141
top10_momentum_daily,2016-03-23,0.962407,-0.001078
top10_momentum_daily,2016-03-24,0.969889,0.007775
top10_momentum_daily,2016-03-28,0.969186,-0.000725
top10_momentum_daily,2016-03-29,0.983367,0.014631
top10_momentum_daily,2016-03-30,0.990378,0.007130
top10_momentum_daily,2016-03-31,0.986919,-0.003493
top10_momentum_daily,2016-04-01,0.997505,0.010726
top10_momentum_daily,2016-04-04,0.989221,-0.008304
top10_momentum_daily,2016-04-05,0.982516,-0.006779
top10_momentum_daily,2016-04-06,0.993532,0.011213
top10_momentum_daily,2016-04-07,0.984476,-0.009115
top10_momentum_daily,2016-04-08,0.982952,-0.001548
top10_momentum_daily,2016-04-11,0.977394,-0.005655
top10_momentum_daily,2016-04-12,0.983849,0.006604
top10_momentum_daily,2016-04-13,0.992425,0.008717
top10_momentum_daily,2016-04-14,0.994279,0.001868
top10_momentum_daily,2016-04-15,0.995295,0.001021
top10_momentum_daily,2016-04-18,1.003520,0.008265
top10_momentum_daily,2016-04-19,0.996496,-0.006999
top10_momentum_daily,2016-04-20,1.000351,0.003868
top10_momentum_daily,2016-04-21,0.996307,-0.004043
top10_momentum_daily,2016-04-22,0.976370,-0.020011
top10_momentum_daily,2016-04-25,0.966252,-0.010363
top10_momentum_daily,2016-04-26,0.963893,-0.002441
top10_momentum_daily,2016-04-27,0.966635,0.002845
top10_momentum_daily,2016-04-28,0.957835,-0.009103
top10_momentum_daily,2016-04-29,0.962504,0.004874
top10_momentum_daily,2016-05-02,0.975105,0.013092
top10_momentum_daily,2016-05-03,0.961687,-0.013761
top10_momentum_daily,2016-05-04,0.960204,-0.001542
top10_momentum_daily,2016-05-05,0.960463,0.000269
top10_momentum_daily,2016-05-06,0.970085,0.010018
top10_momentum_daily,2016-05-09,0.971489,0.001448
top10_momentum_daily,2016-05-10,0.985004,0.013911
top10_momentum_daily,2016-05-11,0.979099,-0.005995
top10_momentum_daily,2016-05-12,0.978514,-0.000597
top10_momentum_daily,2016-05-13,0.990474,0.012223
top10_momentum_daily,2016-05-16,1.001635,0.011268
top10_momentum_daily,2016-05-17,0.988158,-0.013455
top10_momentum_daily,2016-05-18,0.993678,0.005586
top10_momentum_daily,2016-05-19,0.988905,-0.004803
top10_momentum_daily,2016-05-20,0.995319,0.006487
top10_momentum_daily,2016-05-23,0.995706,0.000389
top10_momentum_daily,2016-05-24,1.015890,0.020271
top10_momentum_daily,2016-05-25,1.014175,-0.001688
top10_momentum_daily,2016-05-26,1.021963,0.007679
top10_momentum_daily,2016-05-27,1.030777,0.008625
top10_momentum_daily,2016-05-31,1.028841,-0.001878
top10_momentum_daily,2016-06-01,1.025113,-0.003623
top10_momentum_daily,2016-06-02,1.022658,-0.002395
top10_momentum_daily,2016-06-03,1.013183,-0.009265
top10_momentum_daily,2016-06-06,1.020352,0.007076
top10_momentum_daily,2016-06-07,1.020186,-0.000163
top10_momentum_daily,2016-06-08,1.021194,0.000988
top10_momentum_daily,2016-06-09,1.026323,0.005023
top10_momentum_daily,2016-06-10,1.012128,-0.013831
